voice_id,received_date,channel,voice_text
1,2026-07-02,窓口,"担当の方がとても親切で、資産運用の相談に丁寧に乗ってくれました。おかげで安心して任せられます。"
2,2026-07-05,電話,"電話がなかなかつながらず、30分以上待たされました。もう少し何とかならないのでしょうか。"
3,2026-07-08,アプリ,"アプリの残高照会は便利ですが、投資信託の画面が分かりにくいです。改善してほしい。"
4,2026-07-10,窓口,"NISAの説明を受けましたが、手数料の話が最後まで曖昧で不信感が残りました。"
5,2026-07-12,営業訪問,"担当者が定期的に訪問してくれて、こちらの状況をよく理解してくれています。信頼しています。"
6,2026-07-15,電話,"普通に手続きは終わりました。特に問題はありません。"
7,2026-07-18,アプリ,"ログインのたびにパスワードを求められて面倒。指紋認証に対応してほしい。"
8,2026-07-20,窓口,"待ち時間は長かったですが、対応してくれた行員さんの説明はとても分かりやすかったです。"
9,2026-07-22,営業訪問,"提案された保険商品が自分のニーズと全く合っておらず、押し売りのように感じました。二度と来ないでほしい。"
10,2026-07-25,電話,"振込限度額の変更をスムーズに対応いただけました。ありがとうございました。"
11,2026-07-28,アプリ,"先日のシステムメンテナンスで数日間ログインできず、大変困りました。事前告知も分かりにくかった。"
12,2026-08-01,窓口,"相続の相談で来店。専門的な内容も噛み砕いて説明してもらえて助かりました。また相談したいです。"
